"Variable","SACS_Centering","SACS_Transcending","CFQ_Total","ATQ_Frequency","ATQ_Believability","ATQ_Combined","WEMWBS_Total","DASS_Depression_x2","DASS_Anxiety_x2","DASS_Stress_x2","DASS_Total_x2"
"SACS_Centering",1,0.358659768613153,-0.555973447676745,-0.615404718998417,-0.605952394138748,-0.641892915929854,0.652297791870572,-0.503554889182704,-0.29120548838211,-0.50502180184806,-0.522046971970345
"SACS_Transcending",0.358659768613153,1,-0.210160868464351,-0.382334397216783,-0.3738835612897,-0.396518678130579,0.428638339136097,-0.303815536744242,-0.234404740108214,-0.142072658741286,-0.278808046982473
"CFQ_Total",-0.555973447676745,-0.210160868464351,1,0.613378164484634,0.638071928643168,0.659313331691246,-0.438208551164351,0.538996755754836,0.528739396230479,0.635553749357424,0.664925945872234
"ATQ_Frequency",-0.615404718998417,-0.382334397216783,0.613378164484634,1,0.80577861603868,0.947765686955247,-0.715154951139265,0.670993075444122,0.370150849634019,0.474292656828618,0.617153246157556
"ATQ_Believability",-0.605952394138748,-0.3738835612897,0.638071928643168,0.80577861603868,1,0.952400451090595,-0.654210433442162,0.769154420996922,0.570950595597709,0.547021959993395,0.756240320165714
"ATQ_Combined",-0.641892915929854,-0.396518678130579,0.659313331691246,0.947765686955247,0.952400451090595,1,-0.719702715359727,0.758393283332871,0.496972452280364,0.539171852633637,0.724157379526648
"WEMWBS_Total",0.652297791870572,0.428638339136097,-0.438208551164351,-0.715154951139265,-0.654210433442162,-0.719702715359727,1,-0.680797806704717,-0.265872610117359,-0.4551229650893,-0.580291292345132
"DASS_Depression_x2",-0.503554889182704,-0.303815536744242,0.538996755754836,0.670993075444122,0.769154420996922,0.758393283332871,-0.680797806704717,1,0.587265505494967,0.573654300359975,0.876728022219762
"DASS_Anxiety_x2",-0.29120548838211,-0.234404740108214,0.528739396230479,0.370150849634019,0.570950595597709,0.496972452280364,-0.265872610117359,0.587265505494967,1,0.619222256059948,0.837332826992098
"DASS_Stress_x2",-0.50502180184806,-0.142072658741286,0.635553749357424,0.474292656828618,0.547021959993395,0.539171852633637,-0.4551229650893,0.573654300359975,0.619222256059948,1,0.841175748043721
"DASS_Total_x2",-0.522046971970345,-0.278808046982473,0.664925945872234,0.617153246157556,0.756240320165714,0.724157379526648,-0.580291292345132,0.876728022219762,0.837332826992098,0.841175748043721,1
