"lhs","op","rhs","label","est","std.lv","std.all"
"SAC_Center","=~","SACS_1","",1,1.08694861883594,0.735928558951188
"SAC_Center","=~","SACS_2","",1.12247188660746,1.22006926683015,0.773409750010563
"SAC_Center","=~","SACS_5","",0.710955117587393,0.772771683115963,0.61146950344144
"SAC_Center","=~","SACS_6","",0.649612149175864,0.706095028325753,0.576799146562666
"SAC_Trans","=~","SACS_3","",1,0.616465819285542,0.524764830501968
"SAC_Trans","=~","SACS_4","",3.22313193426634,1.98695066852289,0.893250824891144
"SAC_Trans","=~","SACS_7","",2.85620026088152,1.76074983386791,0.869546914211935
"SAC_Trans","=~","SACS_8","",4.53411604276799,2.79512756104069,0.941556099395555
"SAC_Trans","=~","SACS_9","",1.3614445825694,0.839284050005506,0.642870500805448
"SAC_Trans","=~","SACS_10","",2.46743284435059,1.52108800992464,0.835597586222114
"CFQ_Total","~","SAC_Center","a_c",-7.28708399765708,-7.92068588659486,-0.747858583072628
"CFQ_Total","~","SAC_Trans","a_t",0.964457396270372,0.594555018957815,0.056136940714823
"ATQ_Believability","~","SAC_Center","g_c",-12.505496107394,-13.5928317217902,-0.843942709965461
"ATQ_Believability","~","SAC_Trans","g_t",0.339940316805636,0.209561585907773,0.0130111205917566
"DASS_Total_x2","~","CFQ_Total","b1",0.682704723887421,0.682704723887421,0.308050026294489
"DASS_Total_x2","~","ATQ_Believability","b2",0.524496835342129,0.524496835342129,0.359902514121284
"DASS_Total_x2","~","SAC_Center","c_c",-5.51639885960361,-5.99604212139431,-0.25545223633946
"DASS_Total_x2","~","SAC_Trans","c_t",-0.778550003510542,-0.479949465768888,-0.0204475155241373
"WEMWBS_Total","~","CFQ_Total","d1",0.375512344043255,0.375512344043255,0.348814814083025
"WEMWBS_Total","~","ATQ_Believability","d2",0.119468326390028,0.119468326390028,0.168762965779546
"WEMWBS_Total","~","SAC_Center","e_c",13.2832225724914,14.43818042886,1.26630948402028
"WEMWBS_Total","~","SAC_Trans","e_t",-1.43424276615985,-0.884161641895094,-0.0775459399510431
"CFQ_Total","~~","ATQ_Believability","",13.1287081969917,13.1287081969917,0.205281678078404
"SAC_Center","~~","SAC_Trans","",0.2855990125774,0.426224769876685,0.426224769876685
"SACS_1","|","t1","",-2.67764577630221,-2.67764577630221,-1.81292469891186
"SACS_1","|","t2","",-1.41762143414123,-1.41762143414123,-0.959813629721657
"SACS_1","|","t3","",-0.592254272046602,-0.592254272046602,-0.40099120179822
"SACS_1","|","t4","",0.0484556409294584,0.0484556409294584,0.0328073373334447
"SACS_1","|","t5","",1.15831806617347,1.15831806617347,0.784249899649421
"SACS_1","|","t6","",2.2206933253536,2.2206933253536,1.50354083944667
"SACS_2","|","t1","",-2.47375300601764,-2.47375300601764,-1.56812793009918
"SACS_2","|","t2","",-1.31447122824945,-1.31447122824945,-0.8332517601052
"SACS_2","|","t3","",-0.428662956436904,-0.428662956436904,-0.271732203236301
"SACS_2","|","t4","",0.119066050892145,0.119066050892145,0.075476734935295
"SACS_2","|","t5","",1.02875726314878,1.02875726314878,0.652135841254837
"SACS_2","|","t6","",2.00008559904752,2.00008559904752,1.26786711641219
"SACS_5","|","t1","",-2.38623166734333,-2.38623166734333,-1.88814875674955
"SACS_5","|","t2","",-1.15360873485413,-1.15360873485413,-0.91281367534414
"SACS_5","|","t3","",-0.477891909303327,-0.477891909303327,-0.378140574848854
"SACS_5","|","t4","",0.241055487938314,0.241055487938314,0.190739493607139
"SACS_5","|","t5","",0.933821663373553,0.933821663373553,0.738903199071025
"SACS_5","|","t6","",1.75187805304607,1.75187805304607,1.38620504165819
"SACS_6","|","t1","",-2.12804411963846,-2.12804411963846,-1.73836945852122
"SACS_6","|","t2","",-1.34259935228289,-1.34259935228289,-1.09675062067579
"SACS_6","|","t3","",-0.622323031327456,-0.622323031327456,-0.508366974636685
"SACS_6","|","t4","",0.0318347098131972,0.0318347098131972,0.0260053289071608
"SACS_6","|","t5","",1.05547585150649,1.05547585150649,0.862203451297464
"SACS_6","|","t6","",1.64890112873216,1.64890112873216,1.34696425504379
"SACS_3","|","t1","",-2.18055079402806,-2.18055079402806,-1.85618785670102
"SACS_3","|","t2","",-1.57934341306073,-1.57934341306073,-1.34441172978534
"SACS_3","|","t3","",-1.11065090797623,-1.11065090797623,-0.945438525929112
"SACS_3","|","t4","",-0.415517824127667,-0.415517824127667,-0.353708403170855
"SACS_3","|","t5","",0.788826709386044,0.788826709386044,0.671486563401263
"SACS_4","|","t1","",-3.17530630567855,-3.17530630567855,-1.42748635975848
"SACS_4","|","t2","",-2.81811786048786,-2.81811786048786,-1.26690921088273
"SACS_4","|","t3","",-2.40496426820408,-2.40496426820408,-1.08117244702609
"SACS_4","|","t4","",-1.6741734729117,-1.6741734729117,-0.752639136632906
"SACS_4","|","t5","",-0.591468021736904,-0.591468021736904,-0.265899554872183
"SACS_4","|","t6","",1.1342757276312,1.1342757276312,0.509923444709267
"SACS_7","|","t1","",-3.28665990078835,-3.28665990078835,-1.62311812832408
"SACS_7","|","t2","",-2.84828709112949,-2.84828709112949,-1.40662756471238
"SACS_7","|","t3","",-1.95335788738531,-1.95335788738531,-0.964666468033227
"SACS_7","|","t4","",-1.36631823246776,-1.36631823246776,-0.674756731490896
"SACS_7","|","t5","",0.0614281461474623,0.0614281461474623,0.0303363112129039
"SACS_7","|","t6","",1.43248594426107,1.43248594426107,0.707433678836643
"SACS_8","|","t1","",-3.8588695291195,-3.8588695291195,-1.29988419582588
"SACS_8","|","t2","",-3.3302673948958,-3.3302673948958,-1.12182127999726
"SACS_8","|","t3","",-2.63663105871394,-2.63663105871394,-0.888165567035363
"SACS_8","|","t4","",-1.86346876742659,-1.86346876742659,-0.627721041593666
"SACS_8","|","t5","",-0.66120993281113,-0.66120993281113,-0.222732677354964
"SACS_8","|","t6","",1.32566043538742,1.32566043538742,0.446556960785599
"SACS_9","|","t1","",-2.17559046368133,-2.17559046368133,-1.66644764776026
"SACS_9","|","t2","",-1.6593281753942,-1.6593281753942,-1.27100370263115
"SACS_9","|","t3","",-1.31493930393864,-1.31493930393864,-1.0072104776044
"SACS_9","|","t4","",-0.700601468741648,-0.700601468741648,-0.536643127046226
